# ----------------------------------------
# First Time Visitors
# Campagin Performance-Free form 1
# 20250401-20250714
# ----------------------------------------

Source / medium,Campaign,Landing page,Device category,Event name,Sessions,Bounce rate,Engagement rate,Key events
,,,,,118,0,1,434.00000000000006,Grand total
(direct) / (none),(direct),(not set),mobile,add_to_cart,1,0,1,3
(direct) / (none),(direct),/,desktop,add_to_cart,2,0,1,7
(direct) / (none),(direct),/,desktop,begin_checkout,2,0,1,2
(direct) / (none),(direct),/,mobile,add_to_cart,2,0,1,9
(direct) / (none),(direct),/checkouts/cn/Z2NwLXVzLWNlbnRyYWwxOjAxSlNaMkRRUEQ1OVNTTjYyOUtOTktEOFpF,mobile,begin_checkout,1,0,1,1
(direct) / (none),(direct),/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSlM5OURDOVQyMjY1M1hLQ0ZSQkJBME43,desktop,add_to_cart,1,0,1,1
(direct) / (none),(direct),/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSlM5OURDOVQyMjY1M1hLQ0ZSQkJBME43,desktop,begin_checkout,1,0,1,1
(direct) / (none),(direct),/collections/kurti-palazzos,mobile,add_to_cart,1,0,1,3
(direct) / (none),(direct),/collections/saree-blouses,mobile,add_to_cart,1,0,1,3
(direct) / (none),(direct),/products/designer-chinon-party-wear-dress-mirror-embroidery-work-1,desktop,add_to_cart,1,0,1,1
(direct) / (none),(direct),/products/designer-chinon-party-wear-dress-mirror-embroidery-work-1,desktop,begin_checkout,1,0,1,1
(not set),(not set),/,desktop,add_to_cart,1,0,1,3
(not set),(not set),/,desktop,begin_checkout,1,0,1,1
(not set),(not set),/,mobile,add_to_cart,1,0,1,3
(not set),(not set),/collections/suits-salwaar,mobile,add_to_cart,1,0,1,3
Meta Ads / Suits_Salwaar_Always_On_20_April,pacific_mart_nz_sales_Insta_Facebook,/,mobile,add_to_cart,4,0,1,4.838043
