Day,"Campaign ID","Campaign name","Ad set ID","Ad Set Name","Ad ID","Ad name",Objective,Region,"Delivery status","Delivery level","Attribution setting",Reach,Impressions,Frequency,"Amount spent (NZD)","Link clicks","CPM (cost per 1,000 impressions)","CPC (cost per link click)","CTR (all)","Video plays at 25%","Reporting starts","Reporting ends"
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",33,40,1.21212121,0.22,2,5.5,0.11,5,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",14,16,1.14285714,0.07,,4.375,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",3,3,1,0.02,,6.66666667,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",3,3,1,0.01,,3.33333333,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",5,6,1.2,0.02,,3.33333333,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Gisborne District",active,ad,"7-day click or 1-day view",3,3,1,0.02,,6.66666667,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",14,15,1.07142857,0.13,,8.66666667,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",10,11,1.1,0.05,,4.54545455,,9.09090909,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",5,6,1.2,0.02,,3.33333333,,0,,2025-07-14,2025-07-14
2025-07-14,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",15,15,1,0.11,,7.33333333,,0,,2025-07-14,2025-07-14
