Day,"Campaign name","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Attribution setting",Starts,Ends,"Link clicks","Landing page views","Messaging conversations started","Add to cart","Cost per Add to cart","Checkouts Initiated",Purchases,"Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 100%","Reporting starts","Reporting ends"
2025-07-14,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,70,66,,,,,,,,,,2025-07-14,2025-07-14
2025-07-13,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,63,60,,,,,,,,,,2025-07-13,2025-07-13
2025-07-12,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,59,56,,,,,,,,,,2025-07-12,2025-07-12
2025-07-11,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,74,62,,,,,,,,,,2025-07-11,2025-07-11
2025-07-10,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,74,67,1,,,,,,,,,2025-07-10,2025-07-10
2025-07-09,Suits_Salwaar_new_stock_27th_April,pacific_mart_nz_traffic_feed_only,"23June_saree + suits_new_ad",120223368010610154,120223368010620154,120229561264060154,"7-day click or 1-day view",2025-04-22,Ongoing,11,2,4,,,,,,,,,2025-07-09,2025-07-09
2025-07-09,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,46,40,,,,,,,,,,2025-07-09,2025-07-09
2025-07-08,Suits_Salwaar_new_stock_27th_April,pacific_mart_nz_traffic_feed_only,"23June_saree + suits_new_ad",120223368010610154,120223368010620154,120229561264060154,"7-day click or 1-day view",2025-04-22,Ongoing,28,,4,,,,,,,,,2025-07-08,2025-07-08
2025-07-08,Always_On_Campaign_all_Placements,Always_On_Ad_Set_all_placements,Always_On_Expanded_ads,120227934035310154,120227934035330154,120227934035320154,"7-day click or 1-day view",2025-06-04,Ongoing,41,35,,,,,,,,,,2025-07-08,2025-07-08
2025-07-07,Suits_Salwaar_new_stock_27th_April,pacific_mart_nz_traffic_feed_only,"23June_saree + suits_new_ad",120223368010610154,120223368010620154,120229561264060154,"7-day click or 1-day view",2025-04-22,Ongoing,23,1,4,,,,,,,,,2025-07-07,2025-07-07
